"";"inst_all";"V2"
"671";"https://openalex.org/I1288970718";1
"672";"https://openalex.org/I1289243028";2
"673";"https://openalex.org/I128931577";14
"674";"https://openalex.org/I1289437631";1
"675";"https://openalex.org/I1289490764";10
"676";"https://openalex.org/I1289550199";1
"677";"https://openalex.org/I128956969";4
"678";"https://openalex.org/I1289638682";2
"679";"https://openalex.org/I1289910757";22
"680";"https://openalex.org/I128993996";18
"681";"https://openalex.org/I129043915";22
"682";"https://openalex.org/I1290523313";79
"683";"https://openalex.org/I1290748110";2
"684";"https://openalex.org/I12912129";14
"685";"https://openalex.org/I1291453478";10
"686";"https://openalex.org/I129162050";7
"687";"https://openalex.org/I1291714003";3
"688";"https://openalex.org/I1292020679";5
"689";"https://openalex.org/I1292404956";3
"690";"https://openalex.org/I1292669757";1
"691";"https://openalex.org/I1292896151";4
"692";"https://openalex.org/I1292974536";7
"693";"https://openalex.org/I1293226324";29
"694";"https://openalex.org/I1293303778";1
"695";"https://openalex.org/I1293456974";1
"696";"https://openalex.org/I1293487690";2
"697";"https://openalex.org/I1293555014";8
"698";"https://openalex.org/I1293811555";2
"699";"https://openalex.org/I1294182474";6
"700";"https://openalex.org/I1294345657";2
"701";"https://openalex.org/I129451853";3
"702";"https://openalex.org/I1294671590";5
"703";"https://openalex.org/I129488602";16
"704";"https://openalex.org/I129496196";12
"705";"https://openalex.org/I1294991024";1
"706";"https://openalex.org/I1295435021";2
"707";"https://openalex.org/I129604602";123
"708";"https://openalex.org/I129615261";63
"709";"https://openalex.org/I129627893";41
"710";"https://openalex.org/I1296452710";5
"711";"https://openalex.org/I1296725772";4
"712";"https://openalex.org/I1296990705";12
"713";"https://openalex.org/I1297288678";1
"714";"https://openalex.org/I1297363086";8
"715";"https://openalex.org/I1297460800";1
"716";"https://openalex.org/I129774422";36
"717";"https://openalex.org/I1297991670";7
"718";"https://openalex.org/I129801699";121
"719";"https://openalex.org/I129826125";32
"720";"https://openalex.org/I1298342388";2
"721";"https://openalex.org/I1298354342";5
"722";"https://openalex.org/I129858807";25
"723";"https://openalex.org/I1298633626";1
"724";"https://openalex.org/I1298723799";2
"725";"https://openalex.org/I129877168";7
"726";"https://openalex.org/I129902397";27
"727";"https://openalex.org/I1299170990";26
"728";"https://openalex.org/I1299907687";16
"729";"https://openalex.org/I129994210";5
